ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,shares_missing,turnover_missing,status
ASPN,2154,2014-06-13,2022-12-30,214,2015-11-06,2022-12-04,ok,354.0,354.0,ok
ASR,5600,2000-09-28,2022-12-30,940,2017-04-29,2022-12-31,ok,4171.0,4171.0,ok
ASX,5598,2000-10-02,2022-12-30,862,2017-04-29,2022-10-29,ok,4169.0,4169.0,ok
ATEN,2212,2014-03-21,2022-12-30,237,2015-11-09,2022-11-09,ok,413.0,413.0,ok
ATGE,5787,2000-01-03,2022-12-30,220,2017-05-04,2022-12-30,ok,4361.0,4361.0,ok
ATH$A,0,,,0,,,empty_ohlc,,,empty
ATH$B,0,,,0,,,empty_ohlc,,,empty
ATH$D,0,,,0,,,empty_ohlc,,,empty
ATH$E,0,,,0,,,empty_ohlc,,,empty
ATHM,2280,2013-12-11,2022-12-30,289,2016-07-06,2022-12-30,ok,645.0,645.0,ok
ATHS,0,,,0,,,empty_ohlc,,,empty
ATI,5787,2000-01-03,2022-12-30,214,2015-10-29,2022-11-25,ok,3981.0,3981.0,ok
ATKR,1652,2016-06-10,2022-12-30,213,2016-06-10,2022-12-16,ok,0.0,0.0,ok
ATMU,0,,,0,,,empty_ohlc,,,empty
ATO,5787,2000-01-03,2022-12-30,210,2015-11-06,2022-12-17,ok,3987.0,3987.0,ok
ATR,5787,2000-01-03,2022-12-30,219,2015-11-05,2022-11-04,ok,3986.0,3986.0,ok
ATS,3275,2009-12-29,2022-12-30,0,,,missing,3275.0,3275.0,ok
AU,5787,2000-01-03,2022-12-30,451,2017-04-29,2022-12-31,ok,4358.0,4358.0,ok
AUB,5787,2000-01-03,2022-12-30,141,2019-05-22,2022-11-09,ok,4876.0,4876.0,ok
AUB$A,0,,,0,,,empty_ohlc,,,empty
AUNA,0,,,0,,,empty_ohlc,,,empty
AVA,5787,2000-01-03,2022-12-30,211,2015-11-04,2022-11-05,ok,3985.0,3985.0,ok
AVAL,2084,2014-09-23,2022-12-30,630,2017-04-29,2022-12-21,ok,655.0,655.0,ok
AVB,5787,2000-01-03,2022-12-30,218,2015-11-03,2022-11-25,ok,3984.0,3984.0,ok
AVBC,0,,,0,,,empty_ohlc,,,empty
AVD,5787,2000-01-03,2022-12-30,219,2015-11-03,2022-11-25,ok,3984.0,3984.0,ok
AVK,4954,2003-04-30,2022-12-30,185,2015-08-31,2022-11-04,ok,3106.0,3106.0,ok
AVNS,2064,2014-10-21,2022-12-30,203,2017-08-02,2022-11-05,ok,700.0,700.0,ok
AVNT,5787,2000-01-03,2022-12-30,55,2020-07-23,2022-11-09,ok,5171.0,5171.0,ok
AVTR,914,2019-05-17,2022-12-30,118,2019-05-20,2022-12-14,ok,1.0,1.0,ok
AVY,5787,2000-01-03,2022-12-30,205,2015-11-03,2022-11-05,ok,3984.0,3984.0,ok
AWF,5787,2000-01-03,2022-12-30,158,2014-02-20,2022-11-04,ok,3554.0,3554.0,ok
AWI,4079,2006-10-18,2022-12-30,235,2015-10-29,2022-11-06,ok,2273.0,2273.0,ok
AWK,3700,2008-04-23,2022-12-30,207,2015-11-05,2023-01-01,ok,1899.0,1899.0,ok
AWP,3950,2007-04-26,2022-12-30,164,2013-04-01,2022-11-04,ok,1492.0,1492.0,ok
AWR,5787,2000-01-03,2022-12-30,205,2015-11-03,2022-11-09,ok,3984.0,3984.0,ok
AX,4481,2005-03-16,2022-12-30,202,2017-08-24,2022-11-25,ok,3133.0,3133.0,ok
AXIA,3553,2008-11-19,2022-12-30,0,,,missing,3553.0,3553.0,ok
AXIA$,0,,,0,,,empty_ohlc,,,empty
AXIA$C,0,,,0,,,empty_ohlc,,,empty
AXL,5787,2000-01-03,2022-12-30,202,2015-10-30,2022-11-25,ok,3982.0,3982.0,ok
AXP,5787,2000-01-03,2022-12-30,205,2015-10-28,2022-12-16,ok,3980.0,3980.0,ok
AXR,5787,2000-01-03,2022-12-30,184,2015-08-24,2022-12-08,ok,3934.0,3934.0,ok
AXS,4911,2003-07-01,2022-12-30,191,2015-10-30,2022-10-28,ok,3106.0,3106.0,ok
AXS$E,0,,,0,,,empty_ohlc,,,empty
AXTA,2048,2014-11-12,2022-12-30,209,2015-10-30,2022-10-28,ok,243.0,243.0,ok
AYI,5307,2001-12-03,2022-12-30,202,2015-11-20,2022-12-17,ok,3517.0,3517.0,ok
AZN,3495,2009-02-13,2022-12-30,908,2017-04-30,2023-01-01,ok,2066.0,2066.0,ok
AZO,5787,2000-01-03,2022-12-30,216,2015-12-09,2022-12-22,ok,4009.0,4009.0,ok
AZZ,5787,2000-01-03,2022-12-30,217,2015-09-29,2022-11-25,ok,3959.0,3959.0,ok
B,5787,2000-01-03,2022-12-30,209,2015-10-27,2022-11-02,ok,3979.0,3979.0,ok
BA,5787,2000-01-03,2022-12-30,220,2015-10-21,2022-10-29,ok,3975.0,3975.0,ok
BA$A,0,,,0,,,empty_ohlc,,,empty
BABA,2086,2014-09-19,2022-12-30,760,2016-08-21,2023-01-01,ok,484.0,484.0,ok
BAC,5787,2000-01-03,2022-12-30,243,2015-10-30,2022-11-04,ok,3982.0,3982.0,ok
BAC$B,0,,,0,,,empty_ohlc,,,empty
BAC$E,0,,,0,,,empty_ohlc,,,empty
BAC$K,0,,,0,,,empty_ohlc,,,empty
BAC$L,0,,,0,,,empty_ohlc,,,empty
