ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,failure_reason,status,shares_missing,turnover_missing
AMLX,247,2022-01-07,2022-12-30,0,,,missing,,ok,247.0,247.0
AMOD,295,2021-10-29,2022-12-30,0,,,missing,,ok,295.0,295.0
AMODW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AMPG,499,2021-01-08,2022-12-30,0,,,missing,,ok,499.0,499.0
AMPGR,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AMPGW,472,2021-02-18,2022-12-30,0,,,missing,,ok,472.0,472.0
AMPGZ,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AMPH,2146,2014-06-25,2022-12-30,0,,,missing,,ok,2146.0,2146.0
AMPL,318,2021-09-28,2022-12-30,0,,,missing,,ok,318.0,318.0
AMRN,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AMRX,1173,2018-05-07,2022-12-30,0,,,missing,,ok,1173.0,1173.0
AMSC,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AMSF,4308,2005-11-18,2022-12-30,0,,,missing,,ok,4308.0,4308.0
AMST,571,2020-09-25,2022-12-30,0,,,missing,,ok,571.0,571.0
AMTX,4158,2006-06-27,2022-12-30,0,,,missing,,ok,4158.0,4158.0
AMWD,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ANAB,1494,2017-01-26,2022-12-30,0,,,missing,,ok,1494.0,1494.0
ANDE,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ANEB,417,2021-05-07,2022-12-30,0,,,missing,,ok,417.0,417.0
ANGH,595,2020-08-21,2022-12-30,0,,,missing,,ok,595.0,595.0
ANGHW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ANGI,2798,2011-11-17,2022-12-30,0,,,missing,,ok,2798.0,2798.0
ANGO,4680,2004-06-01,2022-12-30,0,,,missing,,ok,4680.0,4680.0
ANIK,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ANIP,5701,2000-05-05,2022-12-30,0,,,missing,,ok,5701.0,5701.0
ANIX,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ANL,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ANNA,217,2022-02-22,2022-12-30,0,,,missing,,ok,217.0,217.0
ANNAW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ANNX,615,2020-07-24,2022-12-30,0,,,missing,,ok,615.0,615.0
ANPA,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ANSC,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ANSCU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ANSCW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ANTA,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ANTX,194,2022-03-25,2022-12-30,0,,,missing,,ok,194.0,194.0
ANY,2365,2013-08-12,2022-12-30,0,,,missing,,ok,2365.0,2365.0
AOSL,3192,2010-04-29,2022-12-30,0,,,missing,,ok,3192.0,3192.0
AOUT,595,2020-08-21,2022-12-30,0,,,missing,,ok,595.0,595.0
